candidate,valid_accuracy,valid_macro_f1,missing_mean_macro_f1,eligible
baseline_single,0.5989010989010989,0.5766619973552746,0.5785549825877063,True
baseline_single_bias,0.6057692307692307,0.57802661756369,0.5788035819943925,True
baseline_mean,0.6153846153846154,0.5822655024035024,0.5835558750018072,True
baseline_mean_bias,0.6153846153846154,0.5750671181736208,0.5714759287865399,False
combined_single,0.6098901098901099,0.5724882966262276,0.5632774862790481,False
combined_single_bias,0.6043956043956044,0.5595236815224988,0.5588604243849317,False
combined_mean,0.6112637362637363,0.5652232761402503,0.5626079740141692,False
combined_mean_bias,0.6098901098901099,0.5689299206447455,0.5669310398484179,False
frozen_single,0.6085164835164835,0.5390098931579667,0.520558992748999,False
frozen_single_bias,0.6057692307692307,0.5322091413758285,0.5173954895639529,False
frozen_mean,0.6153846153846154,0.5613142112828124,0.5521056623598347,False
frozen_mean_bias,0.6181318681318682,0.5692953243326603,0.5550260827198333,False
tuned_single,0.5673076923076923,0.5351379650636148,0.5255933267144857,False
tuned_single_bias,0.5728021978021978,0.5377728130527135,0.5245415121715905,False
tuned_mean,0.614010989010989,0.569410568287624,0.5504168050415268,False
tuned_mean_bias,0.614010989010989,0.568014019735584,0.5488764104749221,False
mixed_mean,0.6126373626373627,0.5651021750569342,0.5610190307593722,False
mixed_mean_bias,0.6085164835164835,0.5587270507270508,0.5546094177247115,False
