epoch,seconds,train_loss,train_cls_loss,train_reg_loss,train_aux_loss,selection_score,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,missing30_mean_macro_f1,missing30_mean_mae
1,11.869136810302734,1.4347000200057698,0.9675729051928654,0.39394458599179705,1.266428605418339,0.4388966173230917,0.6071428571428571,0.49227037860051864,0.6537837982177734,0.6310052471985058,0.5052009526896438,0.6399042776652745
2,23.50961947441101,1.2297058874201552,0.8447211796992293,0.30115639870968935,1.200496504239947,0.5159661054964997,0.6277472527472527,0.5710660987778826,0.6192421317100525,0.6546749418980403,0.5766782205412623,0.6152650373322623
3,34.7891800403595,1.13783792468989,0.7858843240782479,0.2634215682884243,1.1768028190202802,0.5329991773203467,0.635989010989011,0.5822221407296034,0.5890800356864929,0.6597217175636985,0.5890885231629579,0.585506090096065
4,45.96515607833862,1.0832331152719872,0.7463529644725478,0.24759050820753953,1.1567312089082236,0.5181740146137581,0.5865384615384616,0.5891590208268735,0.596155047416687,0.6228701229695923,0.5769401937307882,0.6045003618512835
5,57.187934160232544,0.981056405005054,0.6764368414878845,0.21142792513715886,1.1289768714771093,0.5315716903644725,0.6167582417582418,0.6053981139426144,0.5936598181724548,0.6178488309294564,0.589162924623684,0.5998254503522601
6,68.4398934841156,0.9277974545398605,0.6347563116349907,0.19958707655423155,1.1114290518181347,0.5269437540981988,0.6057692307692307,0.5878530076486079,0.5908442735671997,0.6256021951945201,0.5860342104827628,0.5993842141968864
7,80.14960241317749,0.8841337923691651,0.5962135031401554,0.19494291569027944,1.0997163263436789,0.52429317176232,0.6098901098901099,0.5912471858613545,0.6117908954620361,0.6154244917008257,0.5863588427027331,0.6200223054204669
8,92.23815250396729,0.7987362647725043,0.5355685133243275,0.16684737202720107,1.080748768053322,0.5136919765287207,0.6167582417582418,0.5876546723554971,0.6030877828598022,0.6154440348413832,0.5732919597790245,0.6114838123321533
9,103.82486128807068,0.7665267168918503,0.5112007282604681,0.15890022917328595,1.068381739554004,0.4998816722632089,0.6057692307692307,0.5812416383607115,0.618522047996521,0.6100902348824803,0.5634091299795315,0.6357817990439278
10,114.8594925403595,0.69511763236233,0.4478604829757013,0.15216746874083983,1.046026490002035,0.49853799910539476,0.5824175824175825,0.5667329833977389,0.6185455918312073,0.5960776084565595,0.5628725806535789,0.6273229207311358
