mode,rate,position,accuracy,macro_f1,mae,pearson,n
text,0.1,start,0.6808803301237965,0.6129766961482911,0.6012252569198608,0.7026221110804375,727
text,0.1,middle,0.6781292984869326,0.6068169241059583,0.6011645793914795,0.7064117864481475,727
text,0.1,end,0.6822558459422283,0.6102672381366068,0.6048341989517212,0.6985025933582324,727
text,0.3,start,0.6822558459422283,0.6190117288709783,0.6186866760253906,0.6819405243556254,727
text,0.3,middle,0.6533700137551581,0.5858818548434854,0.6192391514778137,0.6908813160020093,727
text,0.3,end,0.6698762035763411,0.6070004415505265,0.623796284198761,0.673901957911973,727
text,0.5,start,0.6519944979367263,0.58938425631822,0.6471530199050903,0.6512065971874771,727
text,0.5,middle,0.6533700137551581,0.5880877632891924,0.6339972615242004,0.6751703401374641,727
text,0.5,end,0.6671251719394773,0.6070728048921196,0.6434765458106995,0.6471971222030245,727
audio,0.1,start,0.6850068775790922,0.6163380894337086,0.5978692173957825,0.7071313626315974,727
audio,0.1,middle,0.6836313617606602,0.6155510504398102,0.5981846451759338,0.7073760541804817,727
audio,0.1,end,0.6781292984869326,0.6097414085128675,0.5988950729370117,0.7078511012994763,727
audio,0.3,start,0.6836313617606602,0.6154754389778117,0.5989225506782532,0.7070149923323261,727
audio,0.3,middle,0.6822558459422283,0.6175243695067484,0.5989384055137634,0.7066450492257205,727
audio,0.3,end,0.6836313617606602,0.6168866798961959,0.5965023040771484,0.7095247191482085,727
audio,0.5,start,0.6822558459422283,0.6164295418799156,0.6008355617523193,0.7038867418914453,727
audio,0.5,middle,0.6795048143053645,0.6108269578352539,0.5995184779167175,0.706942298926209,727
audio,0.5,end,0.687757909215956,0.6211801622814969,0.5964331030845642,0.7091545522462811,727
vision,0.1,start,0.686382393397524,0.6174053319178195,0.5965785980224609,0.7084913320626057,727
vision,0.1,middle,0.6850068775790922,0.6181757223558206,0.5975118279457092,0.7075260852968215,727
vision,0.1,end,0.6836313617606602,0.6154354711280707,0.5979377031326294,0.7076017035407907,727
vision,0.3,start,0.686382393397524,0.6190705769419503,0.5962778329849243,0.7091742563111219,727
vision,0.3,middle,0.6850068775790922,0.6212960251445819,0.5973224639892578,0.7072572293850391,727
vision,0.3,end,0.6822558459422283,0.6141454967700944,0.5980646014213562,0.7071992220383992,727
vision,0.5,start,0.6891334250343879,0.6243519173923302,0.5957406759262085,0.7095687909740819,727
vision,0.5,middle,0.6850068775790922,0.6214796834325415,0.5977182984352112,0.7067462728614845,727
vision,0.5,end,0.6781292984869326,0.6118601190282441,0.5989584922790527,0.7064959560452793,727
