mode,rate,position,accuracy,macro_f1,mae,pearson,n
text+vision,0.5,end,0.6098901098901099,0.581898316155072,0.5870541334152222,0.6252344852306059,728
audio+vision,0.1,start,0.6483516483516484,0.6133740328997753,0.5616711974143982,0.677964394189814,728
audio+vision,0.1,middle,0.6442307692307693,0.6107984607984608,0.5605776906013489,0.6790008242407737,728
audio+vision,0.1,end,0.6456043956043956,0.6128055756541313,0.5624383091926575,0.6770245702487571,728
audio+vision,0.3,start,0.646978021978022,0.6138414227480354,0.5622908473014832,0.6747824676591121,728
audio+vision,0.3,middle,0.6442307692307693,0.6120204583272848,0.5595608949661255,0.6799951149071831,728
audio+vision,0.3,end,0.6387362637362637,0.6056812203186682,0.5655002593994141,0.6754056179128093,728
audio+vision,0.5,start,0.6442307692307693,0.6129209986286849,0.5622051954269409,0.6750086818434248,728
audio+vision,0.5,middle,0.6414835164835165,0.6120035015879144,0.5600792169570923,0.6784128888277039,728
audio+vision,0.5,end,0.6401098901098901,0.6088796407246155,0.5639527440071106,0.6749015995461947,728
text+audio+vision,0.1,start,0.6442307692307693,0.6109779748943134,0.5652158856391907,0.6726666425233314,728
text+audio+vision,0.1,middle,0.6442307692307693,0.6142999413292597,0.5654981136322021,0.6697519913562087,728
text+audio+vision,0.1,end,0.6373626373626373,0.5971644226523557,0.5646874308586121,0.6681650361134219,728
text+audio+vision,0.3,start,0.6222527472527473,0.5862961711027425,0.5891397595405579,0.6415116874534206,728
text+audio+vision,0.3,middle,0.6428571428571429,0.6154629459427127,0.5691996812820435,0.6604348229886798,728
text+audio+vision,0.3,end,0.6236263736263736,0.5839417159469068,0.5679774284362793,0.6656747662924755,728
text+audio+vision,0.5,start,0.6085164835164835,0.5796578716789839,0.6049458980560303,0.6041133214838302,728
text+audio+vision,0.5,middle,0.6304945054945055,0.610429379443464,0.5828203558921814,0.6323740779478371,728
text+audio+vision,0.5,end,0.614010989010989,0.5823010974333153,0.5868563055992126,0.6254993370869909,728
