seed,path,accuracy,macro_f1,mae,pearson,n
42,C:\Users\30741\Documents\Codex\2026-09-24\wo\outputs\problem2_training\models\best_model.pt,0.6263736263736264,0.6037220525732895,0.5756211280822754,0.6510876915866766,728
43,C:\Users\30741\Documents\Codex\2026-09-24\wo\outputs\problem2_training_v2\seed43\models\best_model.pt,0.6085164835164835,0.606306842780932,0.5821918845176697,0.643460637948242,728
44,C:\Users\30741\Documents\Codex\2026-09-24\wo\outputs\problem2_training_v2\seed44\models\best_model.pt,0.635989010989011,0.5822221407296034,0.5890800356864929,0.6597217154902598,728
45,C:\Users\30741\Documents\Codex\2026-09-24\wo\outputs\problem2_training_v2\seed45\models\best_model.pt,0.614010989010989,0.602870855843124,0.6079331040382385,0.638616843270741,728
46,C:\Users\30741\Documents\Codex\2026-09-24\wo\outputs\problem2_training_v2\seed46\models\best_model.pt,0.614010989010989,0.6076837913774247,0.573075532913208,0.6570843553835958,728
