kind,modalities,rate,position,mask_seed,accuracy,macro_f1,weighted_f1,mae,pearson
position,T,0.3,middle,702,0.5975274725274725,0.5665707881342502,0.5952935539796906,0.6302055716514587,0.6038543092251376
position,T,0.3,middle,703,0.5975274725274725,0.5665707881342502,0.5952935539796906,0.6302055716514587,0.6038543092251376
position,T,0.3,back,701,0.5714285714285714,0.5330689068973661,0.5650839636609157,0.6422263979911804,0.6104486158165647
position,T,0.3,back,702,0.5714285714285714,0.5330689068973661,0.5650839636609157,0.6422263979911804,0.6104486158165647
position,T,0.3,back,703,0.5714285714285714,0.5330689068973661,0.5650839636609157,0.6422263979911804,0.6104486158165647
position,T,0.3,random,701,0.5879120879120879,0.5500699804792619,0.5797370007533337,0.6310741901397705,0.5995428718222652
position,T,0.3,random,702,0.592032967032967,0.5531037763442519,0.5856778983308533,0.6247755885124207,0.6059957224727384
position,T,0.3,random,703,0.592032967032967,0.5612774991345232,0.5883708436880751,0.6372545957565308,0.6015562441292425
position,A,0.3,front,701,0.6538461538461539,0.6271677463848597,0.6495319693143913,0.5945585370063782,0.6605851965138401
position,A,0.3,front,702,0.6538461538461539,0.6271677463848597,0.6495319693143913,0.5945585370063782,0.6605851965138401
position,A,0.3,front,703,0.6538461538461539,0.6271677463848597,0.6495319693143913,0.5945585370063782,0.6605851965138401
position,A,0.3,middle,701,0.6497252747252747,0.6215803503591014,0.6446609402671788,0.5936318635940552,0.6626873489604113
position,A,0.3,middle,702,0.6497252747252747,0.6215803503591014,0.6446609402671788,0.5936318635940552,0.6626873489604113
position,A,0.3,middle,703,0.6497252747252747,0.6215803503591014,0.6446609402671788,0.5936318635940552,0.6626873489604113
position,A,0.3,back,701,0.6565934065934066,0.631328669559462,0.6529204951071547,0.5925954580307007,0.6625624957525714
position,A,0.3,back,702,0.6565934065934066,0.631328669559462,0.6529204951071547,0.5925954580307007,0.6625624957525714
position,A,0.3,back,703,0.6565934065934066,0.631328669559462,0.6529204951071547,0.5925954580307007,0.6625624957525714
