group,seed,epochs,dev_n,accuracy,macro_f1,raw_mae,raw_pearson,missing_macro_f1,seconds
input_T,20267001,10,391,0.6163682864450127,0.579097120406816,0.6147280931472778,0.6513419151306152,0.5728560734968201,43.027192300000024
input_T,20267002,10,391,0.6265984654731458,0.605498069960764,0.6210249066352844,0.6799540519714355,0.5846110607488167,45.5220530000006
input_T,20267003,10,391,0.6342710997442456,0.6058372189086679,0.6051661372184753,0.6770871877670288,0.5960724201843507,47.31459709999763
input_TA,20267001,10,391,0.6112531969309463,0.5803994095936208,0.6249522566795349,0.6365154981613159,0.580951665490416,22.37468959999751
input_TA,20267002,10,391,0.5907928388746803,0.5701488511243532,0.6316904425621033,0.6697092056274414,0.5637227749980503,27.980862600001274
input_TA,20267003,10,391,0.6419437340153452,0.6112566015927422,0.6133942008018494,0.6582469940185547,0.5965969680160726,43.64997239999866
input_TV,20267001,10,391,0.6368286445012787,0.6053946153654216,0.5948910713195801,0.6669296622276306,0.5899525306311499,46.43930259999979
input_TV,20267002,10,391,0.6061381074168798,0.5816873918445427,0.6084615588188171,0.6777581572532654,0.5739144257693151,44.621359000000666
input_TV,20267003,10,391,0.6470588235294118,0.6231457639532622,0.6181234121322632,0.6619091629981995,0.6057454409408058,40.9782426999991
input_V,20267001,10,391,0.4731457800511509,0.43082957675376043,0.7887811064720154,0.2019730806350708,0.4250482744095714,12.544663100001344
input_V,20267002,10,391,0.4475703324808184,0.358115934990935,0.8130707740783691,0.1695219725370407,0.36207542639543505,11.49130900000091
input_V,20267003,10,391,0.4194373401534527,0.3499157531415596,0.8060910105705261,0.23977184295654297,0.36062990924982596,11.826404700001149
interaction,20267001,10,391,0.6240409207161125,0.5949484534765316,0.6114891171455383,0.6511285305023193,0.5795609470676685,28.766103199999634
interaction,20267002,10,391,0.5959079283887468,0.575643407328838,0.6513184309005737,0.6411688923835754,0.5601753525586735,27.921860400001606
interaction,20267003,10,391,0.6521739130434783,0.627393215074208,0.6156823635101318,0.6511203050613403,0.5973007030919911,29.01718400000027
length_0.1,20267001,10,391,0.6240409207161125,0.5917584064578068,0.6244218945503235,0.6548796892166138,0.5789097698822125,23.339055700002064
length_0.1,20267002,10,391,0.59846547314578,0.5807131707514849,0.6128661632537842,0.6627950072288513,0.5651639459410073,22.911260899996705
length_0.1,20267003,10,391,0.6214833759590793,0.5985412823559328,0.6137775182723999,0.6502772569656372,0.5824683929687459,23.31594600000244
length_0.3,20267001,10,391,0.6163682864450127,0.5842842842842842,0.6090753674507141,0.6620079874992371,0.5770618262977404,23.862322699998913
length_0.3,20267002,10,391,0.6086956521739131,0.5926771535060306,0.6267727613449097,0.6644870042800903,0.5828589163867995,22.676206900003308
length_0.3,20267003,10,391,0.629156010230179,0.6036624602832543,0.6126407384872437,0.6479830145835876,0.5878091709052975,23.854543399997056
