family,parameters,valid_accuracy,valid_sd,valid_macro_f1,missing_macro_f1
baseline,74963,0.603021978021978,0.01173626888093069,0.5697615982924163,0.5598234279282491
text_only,41925,0.6126373626373627,0.0036342737789348645,0.5830265633699323,0.5746028503639088
wide_control,102665,0.6130952380952381,0.010309826235529049,0.5771751243828795,0.5713850276586466
factorized,74898,0.6034798534798534,0.009146055107801395,0.5627878602482624,0.5544514041649968
interaction,102856,0.5984432234432234,0.0044155910077806415,0.5709048755710708,0.5634223516801353
combined,102791,0.6085164835164836,0.008241758241758268,0.5702825181937278,0.5659564455978735
